2024-06-23 17:30:54 status not-installed openjdk-11-jre:amd64 <none>
2024-06-23 17:30:54 status installed openjdk-11-jre-headless:amd64 11.0.23+9-1
2024-06-23 17:30:54 remove openjdk-11-jre-headless:amd64 11.0.23+9-1 <none>
2024-06-23 17:30:54 status half-configured openjdk-11-jre-headless:amd64 11.0.23+9-1
2024-06-23 17:30:54 status half-installed openjdk-11-jre-headless:amd64 11.0.23+9-1
2024-06-23 17:30:54 status config-files openjdk-11-jre-headless:amd64 11.0.23+9-1
2024-06-23 17:30:54 startup packages configure
2024-06-23 17:31:01 startup archives unpack
2024-06-23 17:31:02 install libgdk-pixbuf2.0-common:all <none> 2.42.12+dfsg-1
2024-06-23 17:31:02 status half-installed libgdk-pixbuf2.0-common:all 2.42.12+dfsg-1
2024-06-23 17:31:02 status unpacked libgdk-pixbuf2.0-common:all 2.42.12+dfsg-1
2024-06-23 17:31:02 install libdeflate0:amd64 <none> 1.20-1
2024-06-23 17:31:02 status triggers-pending libc-bin:amd64 2.38-13
2024-06-23 17:31:02 status half-installed libdeflate0:amd64 1.20-1
2024-06-23 17:31:02 status unpacked libdeflate0:amd64 1.20-1
2024-06-23 17:31:02 install libjbig0:amd64 <none> 2.1-6.1+b1
2024-06-23 17:31:02 status half-installed libjbig0:amd64 2.1-6.1+b1
2024-06-23 17:31:02 status unpacked libjbig0:amd64 2.1-6.1+b1
2024-06-23 17:31:02 install liblerc4:amd64 <none> 4.0.0+ds-4+b1
2024-06-23 17:31:02 status half-installed liblerc4:amd64 4.0.0+ds-4+b1
2024-06-23 17:31:02 status unpacked liblerc4:amd64 4.0.0+ds-4+b1
2024-06-23 17:31:02 install libsharpyuv0:amd64 <none> 1.4.0-0.1
2024-06-23 17:31:02 status half-installed libsharpyuv0:amd64 1.4.0-0.1
2024-06-23 17:31:02 status unpacked libsharpyuv0:amd64 1.4.0-0.1
2024-06-23 17:31:02 install libwebp7:amd64 <none> 1.4.0-0.1
